epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.642,1.34023,1.36751,1.51956,0.86695,0.85731,0.90404,0.62567,1.03208,0.62565,1.288,0.000664996,0.000664996,0.000664996
2,322.023,1.18294,0.94715,1.40149,0.84563,0.85388,0.89468,0.62582,1.03287,0.6378,1.30138,0.0013053,0.0013053,0.0013053
3,477.54,1.20868,0.97329,1.42251,0.84127,0.85731,0.89946,0.61284,1.08987,0.65634,1.3382,0.0019192,0.0019192,0.0019192
4,634.766,1.22063,0.97642,1.42827,0.87901,0.79224,0.89112,0.60367,1.08247,0.64893,1.326,0.0018812,0.0018812,0.0018812
5,793.399,1.18817,0.93133,1.40684,0.86732,0.85731,0.90461,0.6304,1.01667,0.63336,1.29508,0.0018416,0.0018416,0.0018416
6,951.738,1.16989,0.91612,1.39185,0.87558,0.81938,0.89861,0.62664,1.03027,0.63584,1.30511,0.001802,0.001802,0.001802
7,1108.11,1.14474,0.87588,1.37198,0.87752,0.86301,0.91127,0.64604,0.98553,0.59781,1.2642,0.0017624,0.0017624,0.0017624
8,1266.59,1.11184,0.84882,1.35367,0.87454,0.87527,0.91976,0.65255,1.00619,0.56066,1.26464,0.0017228,0.0017228,0.0017228
9,1425.3,1.10418,0.83178,1.35187,0.88053,0.84132,0.9162,0.64222,1.01267,0.58071,1.27938,0.0016832,0.0016832,0.0016832
10,1580.68,1.08274,0.80213,1.33317,0.86017,0.86376,0.912,0.64092,1.01768,0.58146,1.27483,0.0016436,0.0016436,0.0016436
11,1735.19,1.06584,0.78945,1.32015,0.87834,0.86533,0.91939,0.66288,0.94756,0.55024,1.24591,0.001604,0.001604,0.001604
12,1887.08,1.0544,0.77379,1.31396,0.8916,0.88257,0.93049,0.66843,0.95009,0.54824,1.24727,0.0015644,0.0015644,0.0015644
13,2038.83,1.04469,0.76373,1.3079,0.89272,0.87671,0.93455,0.66589,0.95586,0.53835,1.25349,0.0015248,0.0015248,0.0015248
14,2190.18,1.0355,0.73989,1.29626,0.87877,0.87215,0.92524,0.65921,0.96448,0.53287,1.24274,0.0014852,0.0014852,0.0014852
15,2341.71,1.02312,0.73151,1.28977,0.89164,0.8642,0.92622,0.67027,0.9324,0.5341,1.2256,0.0014456,0.0014456,0.0014456
16,2493.36,1.00507,0.7194,1.27719,0.88554,0.88319,0.92728,0.67087,0.95365,0.52509,1.24529,0.001406,0.001406,0.001406
17,2645.09,0.99415,0.70948,1.27477,0.89954,0.87329,0.92388,0.67875,0.93503,0.51274,1.24152,0.0013664,0.0013664,0.0013664
18,2796.96,0.97775,0.68948,1.26196,0.90274,0.87946,0.93455,0.67505,0.96326,0.49343,1.25824,0.0013268,0.0013268,0.0013268
19,2948.24,0.9702,0.67761,1.25002,0.88672,0.86758,0.9254,0.6748,0.93971,0.52026,1.23541,0.0012872,0.0012872,0.0012872
20,3099.61,0.96463,0.67148,1.24743,0.89727,0.87329,0.92714,0.68854,0.91055,0.48697,1.22028,0.0012476,0.0012476,0.0012476
21,3250.9,0.94798,0.65342,1.23561,0.90547,0.87785,0.93111,0.67737,0.93466,0.49768,1.23409,0.001208,0.001208,0.001208
22,3402,0.93546,0.65042,1.23291,0.8796,0.89238,0.93187,0.68784,0.91944,0.48619,1.22743,0.0011684,0.0011684,0.0011684
23,3553.37,0.91622,0.62071,1.21723,0.90237,0.87671,0.93323,0.68533,0.92816,0.49316,1.24361,0.0011288,0.0011288,0.0011288
24,3704.82,0.91413,0.62002,1.21474,0.8793,0.88986,0.92574,0.68919,0.91725,0.48146,1.23321,0.0010892,0.0010892,0.0010892
25,3856.44,0.91184,0.62376,1.21574,0.87546,0.89877,0.92649,0.68228,0.92184,0.48849,1.23802,0.0010496,0.0010496,0.0010496
