epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,372.434,1.37529,3.22248,1.55309,0.61379,0.24053,0.25681,0.14433,1.48762,1.84857,1.78903,0.00332978,0.00332978,0.00332978
2,749.855,1.35265,2.22657,1.53172,0.39399,0.25812,0.2664,0.13818,1.688,1.95034,1.9178,0.00661914,0.00661914,0.00661914
3,1133.81,1.42554,2.09576,1.59296,0.35453,0.23284,0.2183,0.11174,1.74441,2.14333,2.01911,0.0098645,0.0098645,0.0098645
4,1513.61,1.43402,1.92774,1.6071,0.48948,0.29883,0.32546,0.17495,1.58309,1.77923,1.86547,0.009802,0.009802,0.009802
5,1896.24,1.37395,1.70868,1.55788,0.53385,0.37133,0.41084,0.23668,1.48811,1.45526,1.77669,0.009736,0.009736,0.009736
6,2277.34,1.33942,1.59332,1.5305,0.57352,0.38803,0.43797,0.24843,1.47671,1.34056,1.74774,0.00967,0.00967,0.00967
7,2656.37,1.31086,1.51029,1.5074,0.5651,0.46088,0.47985,0.27837,1.4437,1.27918,1.713,0.009604,0.009604,0.009604
8,3038.84,1.29368,1.4588,1.49389,0.58772,0.48049,0.52098,0.30416,1.4113,1.17012,1.66902,0.009538,0.009538,0.009538
9,3419.54,1.27726,1.41187,1.47896,0.56962,0.48906,0.52849,0.31085,1.37844,1.10425,1.64969,0.009472,0.009472,0.009472
10,3800.26,1.26719,1.3739,1.46823,0.63222,0.48699,0.55158,0.33429,1.3468,1.06761,1.62114,0.009406,0.009406,0.009406
11,4180.14,1.25546,1.34275,1.45793,0.64756,0.52762,0.57599,0.34734,1.34139,1.04246,1.60998,0.00934,0.00934,0.00934
12,4564.53,1.24644,1.32033,1.45046,0.64915,0.55176,0.60088,0.3666,1.32853,1.00431,1.59402,0.009274,0.009274,0.009274
13,4945.86,1.23829,1.29822,1.4425,0.68961,0.51245,0.62337,0.37748,1.30858,0.98603,1.58094,0.009208,0.009208,0.009208
14,5331.16,1.23126,1.27254,1.43558,0.67068,0.55156,0.62777,0.38171,1.30474,0.97334,1.5739,0.009142,0.009142,0.009142
15,5712.49,1.22385,1.26071,1.42919,0.68049,0.53611,0.63328,0.38788,1.29681,0.96571,1.56616,0.009076,0.009076,0.009076
16,6094.25,1.21731,1.25175,1.42434,0.66646,0.54284,0.64262,0.39569,1.29244,0.95446,1.56307,0.00901,0.00901,0.00901
17,6499.33,1.21274,1.23153,1.42445,0.68089,0.54559,0.64895,0.40104,1.28775,0.94542,1.55802,0.008944,0.008944,0.008944
18,6882.94,1.20859,1.21461,1.41968,0.65827,0.57333,0.65055,0.40279,1.28259,0.93948,1.55299,0.008878,0.008878,0.008878
19,7266.73,1.20314,1.20257,1.41465,0.64018,0.59179,0.65348,0.40585,1.27827,0.93512,1.54915,0.008812,0.008812,0.008812
20,7645.29,1.19722,1.19291,1.40752,0.6478,0.58578,0.65714,0.40769,1.27587,0.92997,1.54655,0.008746,0.008746,0.008746
21,8024.68,1.20042,1.18876,1.40823,0.64951,0.58453,0.65796,0.40843,1.2745,0.92549,1.54564,0.00868,0.00868,0.00868
22,8406.1,1.19461,1.18117,1.40518,0.65528,0.5881,0.66002,0.4107,1.2736,0.92086,1.54487,0.008614,0.008614,0.008614
23,8785.86,1.18714,1.17447,1.40088,0.64739,0.59875,0.66236,0.41298,1.27181,0.91749,1.54322,0.008548,0.008548,0.008548
24,9163.45,1.18598,1.16546,1.39645,0.66348,0.59022,0.66348,0.41344,1.26979,0.91438,1.54106,0.008482,0.008482,0.008482
25,9541.47,1.18027,1.15459,1.3932,0.67644,0.58467,0.66594,0.41615,1.26754,0.91098,1.53831,0.008416,0.008416,0.008416
26,9921.9,1.17887,1.14717,1.39007,0.66472,0.59066,0.66584,0.41679,1.2661,0.90806,1.53643,0.00835,0.00835,0.00835
27,10302.4,1.17535,1.14401,1.38858,0.66726,0.59242,0.66846,0.41773,1.26448,0.90563,1.53431,0.008284,0.008284,0.008284
28,10682,1.1729,1.14094,1.38716,0.68181,0.59665,0.67089,0.41937,1.26222,0.90336,1.53227,0.008218,0.008218,0.008218
29,11060.4,1.16958,1.12918,1.38499,0.67987,0.59366,0.67271,0.4208,1.26125,0.90033,1.53091,0.008152,0.008152,0.008152
30,11443.5,1.16869,1.12201,1.38374,0.6774,0.59617,0.67358,0.42187,1.26009,0.89799,1.5292,0.008086,0.008086,0.008086
31,11820.6,1.1692,1.12603,1.38134,0.70005,0.59246,0.67253,0.41987,1.25925,0.89607,1.52773,0.00802,0.00802,0.00802
32,12200.2,1.16313,1.11855,1.37881,0.69264,0.59373,0.67301,0.4205,1.25778,0.89357,1.52639,0.007954,0.007954,0.007954
33,12579.3,1.16275,1.10691,1.37631,0.68352,0.5904,0.67436,0.42182,1.25555,0.89028,1.52396,0.007888,0.007888,0.007888
34,12958.5,1.15984,1.10575,1.37407,0.68498,0.59316,0.67641,0.42387,1.25355,0.88752,1.52172,0.007822,0.007822,0.007822
35,13336.5,1.15815,1.10401,1.37058,0.685,0.59327,0.67864,0.4243,1.25158,0.88477,1.5195,0.007756,0.007756,0.007756
36,13714.9,1.15442,1.09489,1.36862,0.68755,0.58972,0.67894,0.42636,1.25049,0.88255,1.51784,0.00769,0.00769,0.00769
37,14094.9,1.15413,1.0931,1.36787,0.69311,0.5851,0.6811,0.42624,1.24954,0.87955,1.51615,0.007624,0.007624,0.007624
38,14471.4,1.15327,1.08831,1.36777,0.69933,0.5849,0.68209,0.42579,1.24823,0.87668,1.51462,0.007558,0.007558,0.007558
39,14853.1,1.14739,1.08239,1.36553,0.707,0.58608,0.68547,0.42795,1.24711,0.87382,1.51362,0.007492,0.007492,0.007492
40,15232,1.14659,1.07114,1.36272,0.69961,0.58673,0.6854,0.42845,1.24606,0.87176,1.51276,0.007426,0.007426,0.007426
41,15611.6,1.14356,1.07419,1.36095,0.69937,0.59049,0.6878,0.42984,1.24474,0.8688,1.51161,0.00736,0.00736,0.00736
42,15993.1,1.14311,1.07301,1.362,0.68916,0.59751,0.68765,0.42939,1.24251,0.86635,1.50938,0.007294,0.007294,0.007294
43,16374.7,1.14071,1.06368,1.35767,0.68238,0.59873,0.68902,0.43062,1.24143,0.86386,1.50769,0.007228,0.007228,0.007228
44,16753.5,1.13927,1.0646,1.35846,0.68682,0.59579,0.69041,0.4313,1.24039,0.862,1.50597,0.007162,0.007162,0.007162
45,17132.2,1.1397,1.06238,1.35791,0.67991,0.59937,0.69114,0.43275,1.23974,0.85892,1.50444,0.007096,0.007096,0.007096
46,17514.6,1.13639,1.05593,1.3553,0.67813,0.60277,0.69203,0.43214,1.23878,0.8568,1.50311,0.00703,0.00703,0.00703
47,17894.9,1.13541,1.04806,1.35369,0.68739,0.60753,0.6932,0.43274,1.23841,0.85467,1.50211,0.006964,0.006964,0.006964
48,18276.3,1.13561,1.05223,1.35121,0.693,0.61478,0.69587,0.43453,1.23616,0.85265,1.50024,0.006898,0.006898,0.006898
49,18674.2,1.13405,1.04511,1.35125,0.69039,0.61694,0.69471,0.43381,1.23459,0.85073,1.49863,0.006832,0.006832,0.006832
50,19060.6,1.13109,1.04311,1.34765,0.69294,0.61381,0.6962,0.43408,1.23356,0.8486,1.49729,0.006766,0.006766,0.006766
51,19443.9,1.1255,1.03168,1.34558,0.68891,0.61788,0.69863,0.43557,1.23235,0.84619,1.4958,0.0067,0.0067,0.0067
52,19822.3,1.12631,1.03723,1.34871,0.68234,0.61526,0.69849,0.43806,1.23062,0.84444,1.49398,0.006634,0.006634,0.006634
53,20198.3,1.12624,1.03238,1.34536,0.68662,0.62636,0.70148,0.44011,1.22984,0.84266,1.4928,0.006568,0.006568,0.006568
54,20574.3,1.12962,1.02991,1.34558,0.67364,0.63277,0.70291,0.44217,1.22809,0.84053,1.4911,0.006502,0.006502,0.006502
55,20954.1,1.12462,1.02338,1.34262,0.67252,0.63667,0.70345,0.4428,1.22639,0.83901,1.48958,0.006436,0.006436,0.006436
56,21332,1.11995,1.02482,1.3406,0.67306,0.64087,0.70406,0.44302,1.22564,0.83592,1.48857,0.00637,0.00637,0.00637
57,21707.9,1.11863,1.02155,1.33974,0.67607,0.638,0.70498,0.44302,1.22403,0.83452,1.48711,0.006304,0.006304,0.006304
58,22085.6,1.11727,1.01523,1.33872,0.68483,0.63113,0.70569,0.44403,1.22205,0.83247,1.48556,0.006238,0.006238,0.006238
59,22464.4,1.11674,1.01229,1.33575,0.68451,0.63064,0.70546,0.44439,1.22092,0.83122,1.48403,0.006172,0.006172,0.006172
60,22844,1.11447,1.01002,1.33764,0.70255,0.631,0.7078,0.44542,1.21952,0.82942,1.48263,0.006106,0.006106,0.006106
61,23221.1,1.11316,1.003,1.33481,0.61338,0.72443,0.70957,0.44593,1.21817,0.82826,1.48102,0.00604,0.00604,0.00604
62,23598.7,1.11118,1.00339,1.33351,0.6023,0.72333,0.70951,0.44591,1.21625,0.82576,1.47968,0.005974,0.005974,0.005974
63,23979.5,1.11144,1.00239,1.33292,0.63479,0.71179,0.70988,0.44588,1.21481,0.82492,1.47822,0.005908,0.005908,0.005908
64,24355.6,1.1056,0.99521,1.3294,0.65495,0.70406,0.70994,0.44639,1.21354,0.82372,1.47676,0.005842,0.005842,0.005842
65,24730.9,1.10823,0.99839,1.33076,0.66091,0.69659,0.7099,0.44594,1.2124,0.82188,1.47554,0.005776,0.005776,0.005776
66,25108.6,1.10591,0.99128,1.32894,0.67665,0.6866,0.71006,0.44657,1.21094,0.82018,1.47444,0.00571,0.00571,0.00571
67,25486.5,1.10562,0.98972,1.32686,0.66796,0.68729,0.70962,0.4462,1.20936,0.81882,1.47275,0.005644,0.005644,0.005644
68,25865.4,1.10087,0.98307,1.32677,0.67984,0.67836,0.70964,0.45133,1.20866,0.8169,1.47179,0.005578,0.005578,0.005578
69,26242.2,1.10125,0.98343,1.32549,0.70464,0.67568,0.71103,0.45199,1.20782,0.81435,1.4707,0.005512,0.005512,0.005512
70,26618.1,1.10261,0.98215,1.32771,0.72716,0.6612,0.71288,0.45321,1.20662,0.81273,1.46974,0.005446,0.005446,0.005446
